,open,high,low,close,adjclose,volume,ticker
2021-02-11,135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125,134.90086364746094,64280000,AAPL
2021-02-12,134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875,135.14044189453125,60145100,AAPL
2021-02-16,135.49000549316406,136.00999450683594,132.7899932861328,133.19000244140625,132.9641571044922,80576300,AAPL
2021-02-17,131.25,132.22000122070312,129.47000122070312,130.83999633789062,130.61813354492188,97918500,AAPL
2021-02-18,129.1999969482422,130.0,127.41000366210938,129.7100067138672,129.49005126953125,96856700,AAPL
2021-02-19,130.24000549316406,130.7100067138672,128.8000030517578,129.8699951171875,129.6497802734375,87668800,AAPL
2021-02-22,128.00999450683594,129.72000122070312,125.5999984741211,126.0,125.78634643554688,103916400,AAPL
2021-02-23,123.76000213623047,126.70999908447266,118.38999938964844,125.86000061035156,125.6465835571289,158273000,AAPL
2021-02-24,124.94000244140625,125.55999755859375,122.2300033569336,125.3499984741211,125.13744354248047,111039900,AAPL
2021-02-25,124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376953,120.78483581542969,148199500,AAPL
2021-02-26,122.58999633789062,124.8499984741211,121.19999694824219,121.26000213623047,121.05438232421875,164560400,AAPL
2021-03-01,123.75,127.93000030517578,122.79000091552734,127.79000091552734,127.57331085205078,116307900,AAPL
2021-03-02,128.41000366210938,128.72000122070312,125.01000213623047,125.12000274658203,124.9078369140625,102260900,AAPL
2021-03-03,124.80999755859375,125.70999908447266,121.83999633789062,122.05999755859375,121.85301971435547,112966300,AAPL
2021-03-04,121.75,123.5999984741211,118.62000274658203,120.12999725341797,119.9262924194336,178155000,AAPL
2021-03-05,120.9800033569336,121.94000244140625,117.56999969482422,121.41999816894531,121.21410369873047,153766600,AAPL
2021-03-08,120.93000030517578,121.0,116.20999908447266,116.36000061035156,116.16268920898438,154376600,AAPL
2021-03-09,119.02999877929688,122.05999755859375,118.79000091552734,121.08999633789062,120.8846664428711,129525800,AAPL
2021-03-10,121.69000244140625,122.16999816894531,119.44999694824219,119.9800033569336,119.77655792236328,111943300,AAPL
2021-03-11,122.54000091552734,123.20999908447266,121.26000213623047,121.95999908447266,121.75318908691406,103026500,AAPL
2021-03-12,120.4000015258789,121.16999816894531,119.16000366210938,121.02999877929688,120.82476806640625,88105100,AAPL
2021-03-15,121.41000366210938,124.0,120.41999816894531,123.98999786376953,123.77974700927734,92403800,AAPL
2021-03-16,125.69999694824219,127.22000122070312,124.72000122070312,125.56999969482422,125.35707092285156,115227900,AAPL
2021-03-17,124.05000305175781,125.86000061035156,122.33999633789062,124.76000213623047,124.54844665527344,111932600,AAPL
2021-03-18,122.87999725341797,123.18000030517578,120.31999969482422,120.52999877929688,120.32561492919922,121229700,AAPL
2021-03-19,119.9000015258789,121.43000030517578,119.68000030517578,119.98999786376953,119.78652954101562,185549500,AAPL
2021-03-22,120.33000183105469,123.87000274658203,120.26000213623047,123.38999938964844,123.18077087402344,111912300,AAPL
2021-03-23,123.33000183105469,124.23999786376953,122.13999938964844,122.54000091552734,122.33221435546875,95467100,AAPL
2021-03-24,122.81999969482422,122.9000015258789,120.06999969482422,120.08999633789062,119.88636016845703,88530500,AAPL
2021-03-25,119.54000091552734,121.66000366210938,119.0,120.58999633789062,120.38551330566406,98844700,AAPL
2021-03-26,120.3499984741211,121.4800033569336,118.91999816894531,121.20999908447266,121.00446319580078,94071200,AAPL
2021-03-29,121.6500015258789,122.58000183105469,120.7300033569336,121.38999938964844,121.18415832519531,80819200,AAPL
2021-03-30,120.11000061035156,120.4000015258789,118.86000061035156,119.9000015258789,119.69668579101562,85671900,AAPL
2021-03-31,121.6500015258789,123.5199966430664,121.1500015258789,122.1500015258789,121.94287109375,118323800,AAPL
2021-04-01,123.66000366210938,124.18000030517578,122.48999786376953,123.0,122.79142761230469,75089100,AAPL
2021-04-05,123.87000274658203,126.16000366210938,123.06999969482422,125.9000015258789,125.68651580810547,88651200,AAPL
2021-04-06,126.5,127.12999725341797,125.6500015258789,126.20999908447266,125.99598693847656,80171300,AAPL
2021-04-07,125.83000183105469,127.91999816894531,125.13999938964844,127.9000015258789,127.68312072753906,83466700,AAPL
2021-04-08,128.9499969482422,130.38999938964844,128.52000427246094,130.36000061035156,130.13894653320312,88844600,AAPL
2021-04-09,129.8000030517578,133.0399932861328,129.47000122070312,133.0,132.77447509765625,106686700,AAPL
2021-04-12,132.52000427246094,132.85000610351562,130.6300048828125,131.24000549316406,131.0174560546875,91420000,AAPL
2021-04-13,132.44000244140625,134.66000366210938,131.92999267578125,134.42999267578125,134.20204162597656,91266500,AAPL
2021-04-14,134.94000244140625,135.0,131.66000366210938,132.02999877929688,131.80612182617188,87222800,AAPL
2021-04-15,133.82000732421875,135.0,133.63999938964844,134.5,134.2719268798828,89347100,AAPL
2021-04-16,134.3000030517578,134.6699981689453,133.27999877929688,134.16000366210938,133.93251037597656,84922400,AAPL
2021-04-19,133.50999450683594,135.47000122070312,133.33999633789062,134.83999633789062,134.61134338378906,94264200,AAPL
2021-04-20,135.02000427246094,135.52999877929688,131.80999755859375,133.11000061035156,132.88429260253906,94812300,AAPL
2021-04-21,132.36000061035156,133.75,131.3000030517578,133.5,133.27362060546875,68847100,AAPL
2021-04-22,133.0399932861328,134.14999389648438,131.41000366210938,131.94000244140625,131.71627807617188,84566500,AAPL
2021-04-23,132.16000366210938,135.1199951171875,132.16000366210938,134.32000732421875,134.0922393798828,78657500,AAPL
2021-04-26,134.8300018310547,135.05999755859375,133.55999755859375,134.72000122070312,134.49156188964844,66905100,AAPL
2021-04-27,135.00999450683594,135.41000366210938,134.11000061035156,134.38999938964844,134.162109375,66015800,AAPL
2021-04-28,134.30999755859375,135.02000427246094,133.0800018310547,133.5800018310547,133.35348510742188,107760100,AAPL
2021-04-29,136.47000122070312,137.07000732421875,132.4499969482422,133.47999572753906,133.253662109375,151101000,AAPL
2021-04-30,131.77999877929688,133.55999755859375,131.07000732421875,131.4600067138672,131.23709106445312,109839500,AAPL
2021-05-03,132.0399932861328,134.07000732421875,131.8300018310547,132.5399932861328,132.31524658203125,75135100,AAPL
2021-05-04,131.19000244140625,131.49000549316406,126.69999694824219,127.8499984741211,127.6332015991211,137564700,AAPL
2021-05-05,129.1999969482422,130.4499969482422,127.97000122070312,128.10000610351562,127.8827896118164,84000900,AAPL
2021-05-06,127.88999938964844,129.75,127.12999725341797,129.74000549316406,129.52000427246094,78128300,AAPL
2021-05-07,130.85000610351562,131.25999450683594,129.47999572753906,130.2100067138672,130.2100067138672,78973300,AAPL
2021-05-10,129.41000366210938,129.5399932861328,126.80999755859375,126.8499984741211,126.8499984741211,88071200,AAPL
2021-05-11,123.5,126.2699966430664,122.7699966430664,125.91000366210938,125.91000366210938,126142800,AAPL
2021-05-12,123.4000015258789,124.63999938964844,122.25,122.7699966430664,122.7699966430664,112172300,AAPL
2021-05-13,124.58000183105469,126.1500015258789,124.26000213623047,124.97000122070312,124.97000122070312,105861300,AAPL
2021-05-14,126.25,127.88999938964844,125.8499984741211,127.44999694824219,127.44999694824219,81918000,AAPL
2021-05-17,126.81999969482422,126.93000030517578,125.16999816894531,126.2699966430664,126.2699966430664,74244600,AAPL
2021-05-18,126.55999755859375,126.98999786376953,124.77999877929688,124.8499984741211,124.8499984741211,63342900,AAPL
2021-05-19,123.16000366210938,124.91999816894531,122.86000061035156,124.69000244140625,124.69000244140625,92612000,AAPL
2021-05-20,125.2300033569336,127.72000122070312,125.0999984741211,127.30999755859375,127.30999755859375,76857100,AAPL
2021-05-21,127.81999969482422,128.0,125.20999908447266,125.43000030517578,125.43000030517578,79295400,AAPL
2021-05-24,126.01000213623047,127.94000244140625,125.94000244140625,127.0999984741211,127.0999984741211,63092900,AAPL
2021-05-25,127.81999969482422,128.32000732421875,126.31999969482422,126.9000015258789,126.9000015258789,72009500,AAPL
2021-05-26,126.95999908447266,127.38999938964844,126.41999816894531,126.8499984741211,126.8499984741211,56575900,AAPL
2021-05-27,126.44000244140625,127.63999938964844,125.08000183105469,125.27999877929688,125.27999877929688,94625600,AAPL
2021-05-28,125.56999969482422,125.80000305175781,124.55000305175781,124.61000061035156,124.61000061035156,71311100,AAPL
2021-06-01,125.08000183105469,125.3499984741211,123.94000244140625,124.27999877929688,124.27999877929688,67637100,AAPL
2021-06-02,124.27999877929688,125.23999786376953,124.05000305175781,125.05999755859375,125.05999755859375,59278900,AAPL
2021-06-03,124.68000030517578,124.8499984741211,123.12999725341797,123.54000091552734,123.54000091552734,76229200,AAPL
2021-06-04,124.06999969482422,126.16000366210938,123.8499984741211,125.88999938964844,125.88999938964844,75169300,AAPL
2021-06-07,126.16999816894531,126.31999969482422,124.83000183105469,125.9000015258789,125.9000015258789,71057600,AAPL
2021-06-08,126.5999984741211,128.4600067138672,126.20999908447266,126.73999786376953,126.73999786376953,74403800,AAPL
2021-06-09,127.20999908447266,127.75,126.5199966430664,127.12999725341797,127.12999725341797,56877900,AAPL
2021-06-10,127.0199966430664,128.19000244140625,125.94000244140625,126.11000061035156,126.11000061035156,71186400,AAPL
2021-06-11,126.52999877929688,127.44000244140625,126.0999984741211,127.3499984741211,127.3499984741211,53522400,AAPL
2021-06-14,127.81999969482422,130.5399932861328,127.06999969482422,130.47999572753906,130.47999572753906,96906500,AAPL
2021-06-15,129.94000244140625,130.60000610351562,129.38999938964844,129.63999938964844,129.63999938964844,62746300,AAPL
2021-06-16,130.3699951171875,130.88999938964844,128.4600067138672,130.14999389648438,130.14999389648438,91815000,AAPL
2021-06-17,129.8000030517578,132.5500030517578,129.64999389648438,131.7899932861328,131.7899932861328,96721700,AAPL
2021-06-18,130.7100067138672,131.50999450683594,130.24000549316406,130.4600067138672,130.4600067138672,108953300,AAPL
2021-06-21,130.3000030517578,132.41000366210938,129.2100067138672,132.3000030517578,132.3000030517578,79663300,AAPL
2021-06-22,132.1300048828125,134.0800018310547,131.6199951171875,133.97999572753906,133.97999572753906,74783600,AAPL
2021-06-23,133.77000427246094,134.32000732421875,133.22999572753906,133.6999969482422,133.6999969482422,60214200,AAPL
2021-06-24,134.4499969482422,134.63999938964844,132.92999267578125,133.41000366210938,133.41000366210938,68711000,AAPL
2021-06-25,133.4600067138672,133.88999938964844,132.80999755859375,133.11000061035156,133.11000061035156,70783700,AAPL
2021-06-28,133.41000366210938,135.25,133.35000610351562,134.77999877929688,134.77999877929688,62111300,AAPL
2021-06-29,134.8000030517578,136.49000549316406,134.35000610351562,136.3300018310547,136.3300018310547,64556100,AAPL
2021-06-30,136.1699981689453,137.41000366210938,135.8699951171875,136.9600067138672,136.9600067138672,63261400,AAPL
2021-07-01,136.60000610351562,137.3300018310547,135.75999450683594,137.27000427246094,137.27000427246094,52485800,AAPL
2021-07-02,137.89999389648438,140.0,137.75,139.9600067138672,139.9600067138672,78852600,AAPL
2021-07-06,140.07000732421875,143.14999389648438,140.07000732421875,142.02000427246094,142.02000427246094,108181800,AAPL
2021-07-07,143.5399932861328,144.88999938964844,142.66000366210938,144.57000732421875,144.57000732421875,104911600,AAPL
2021-07-08,141.5800018310547,144.05999755859375,140.6699981689453,143.24000549316406,143.24000549316406,105575500,AAPL
2021-07-09,142.75,145.64999389648438,142.64999389648438,145.11000061035156,145.11000061035156,99890800,AAPL
2021-07-12,146.2100067138672,146.32000732421875,144.0,144.5,144.5,76299700,AAPL
2021-07-13,144.02999877929688,147.4600067138672,143.6300048828125,145.63999938964844,145.63999938964844,100827100,AAPL
2021-07-14,148.10000610351562,149.57000732421875,147.67999267578125,149.14999389648438,149.14999389648438,127050800,AAPL
2021-07-15,149.24000549316406,150.0,147.08999633789062,148.47999572753906,148.47999572753906,106820300,AAPL
2021-07-16,148.4600067138672,149.75999450683594,145.8800048828125,146.38999938964844,146.38999938964844,93251400,AAPL
2021-07-19,143.75,144.07000732421875,141.6699981689453,142.4499969482422,142.4499969482422,121434600,AAPL
2021-07-20,143.4600067138672,147.10000610351562,142.9600067138672,146.14999389648438,146.14999389648438,96350000,AAPL
2021-07-21,145.52999877929688,146.1300048828125,144.6300048828125,145.39999389648438,145.39999389648438,74993500,AAPL
2021-07-22,145.94000244140625,148.1999969482422,145.80999755859375,146.8000030517578,146.8000030517578,77338200,AAPL
2021-07-23,147.5500030517578,148.72000122070312,146.9199981689453,148.55999755859375,148.55999755859375,71447400,AAPL
2021-07-26,148.27000427246094,149.8300018310547,147.6999969482422,148.99000549316406,148.99000549316406,72434100,AAPL
2021-07-27,149.1199951171875,149.2100067138672,145.5500030517578,146.77000427246094,146.77000427246094,104818600,AAPL
2021-07-28,144.80999755859375,146.97000122070312,142.5399932861328,144.97999572753906,144.97999572753906,118931200,AAPL
2021-07-29,144.69000244140625,146.5500030517578,144.5800018310547,145.63999938964844,145.63999938964844,56699500,AAPL
2021-07-30,144.3800048828125,146.3300018310547,144.11000061035156,145.86000061035156,145.86000061035156,70382000,AAPL
2021-08-02,146.36000061035156,146.9499969482422,145.25,145.52000427246094,145.52000427246094,62880000,AAPL
2021-08-03,145.80999755859375,148.0399932861328,145.17999267578125,147.36000061035156,147.36000061035156,64786600,AAPL
2021-08-04,147.27000427246094,147.7899932861328,146.27999877929688,146.9499969482422,146.9499969482422,56368300,AAPL
2021-08-05,146.97999572753906,147.83999633789062,146.1699981689453,147.05999755859375,147.05999755859375,46397700,AAPL
2021-08-06,146.35000610351562,147.11000061035156,145.6300048828125,146.13999938964844,146.13999938964844,54067400,AAPL
2021-08-09,146.1999969482422,146.6999969482422,145.52000427246094,146.08999633789062,146.08999633789062,48908700,AAPL
2021-08-10,146.44000244140625,147.7100067138672,145.3000030517578,145.60000610351562,145.60000610351562,69023100,AAPL
2021-08-11,146.0500030517578,146.72000122070312,145.52999877929688,145.86000061035156,145.86000061035156,48493500,AAPL
2021-08-12,146.19000244140625,149.0500030517578,145.83999633789062,148.88999938964844,148.88999938964844,72282600,AAPL
2021-08-13,148.97000122070312,149.44000244140625,148.27000427246094,149.10000610351562,149.10000610351562,59318800,AAPL
2021-08-16,148.5399932861328,151.19000244140625,146.47000122070312,151.1199951171875,151.1199951171875,103296000,AAPL
2021-08-17,150.22999572753906,151.67999267578125,149.08999633789062,150.19000244140625,150.19000244140625,92229700,AAPL
2021-08-18,149.8000030517578,150.72000122070312,146.14999389648438,146.36000061035156,146.36000061035156,86326000,AAPL
2021-08-19,145.02999877929688,148.0,144.5,146.6999969482422,146.6999969482422,86960300,AAPL
2021-08-20,147.44000244140625,148.5,146.77999877929688,148.19000244140625,148.19000244140625,59947400,AAPL
2021-08-23,148.30999755859375,150.19000244140625,147.88999938964844,149.7100067138672,149.7100067138672,60131800,AAPL
2021-08-24,149.4499969482422,150.86000061035156,149.14999389648438,149.6199951171875,149.6199951171875,48606400,AAPL
2021-08-25,149.80999755859375,150.32000732421875,147.8000030517578,148.36000061035156,148.36000061035156,58991300,AAPL
2021-08-26,148.35000610351562,149.1199951171875,147.50999450683594,147.5399932861328,147.5399932861328,48597200,AAPL
2021-08-27,147.47999572753906,148.75,146.8300018310547,148.60000610351562,148.60000610351562,55721500,AAPL
2021-08-30,149.0,153.49000549316406,148.61000061035156,153.1199951171875,153.1199951171875,90956700,AAPL
2021-08-31,152.66000366210938,152.8000030517578,151.2899932861328,151.8300018310547,151.8300018310547,86453100,AAPL
